prov,zs,pop,debutsem,c011mois,d011mois,c1259mois,d1259mois,c5ansp,d5ansp,Annee
HAUT-LOMAMI,MALEMBA-NKULU,193955.0,2019-01-20,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-LOMAMI,MULONGO,193955.0,2019-01-20,0.0,0.0,1.0,0.0,0.0,0.0,2020
HAUT-LOMAMI,KINKONDJA,193955.0,2019-01-20,0.0,0.0,4.0,0.0,4.0,0.0,2020
KONGO CENTRAL,NSONA-MPANGU,193955.0,2020-01-20,0.0,0.0,0.0,0.0,1.0,0.0,2020
SUD-KIVU,BAGIRA-KASHA,193955.0,2020-01-25,0.0,0.0,0.0,0.0,1.0,0.0,2020
SUD-KIVU,IBANDA,193955.0,2020-01-25,0.0,0.0,0.0,0.0,7.0,0.0,2020
SUD-KIVU,KADUTU,193955.0,2020-01-25,0.0,0.0,1.0,0.0,2.0,0.0,2020
SUD-KIVU,NYANTENDE,193955.0,2020-01-25,0.0,0.0,7.0,0.0,0.0,0.0,2020
SUD-KIVU,MINOVA,193955.0,2020-01-25,0.0,0.0,2.0,0.0,8.0,0.0,2020
SUD-KIVU,FIZI,193955.0,2020-01-25,0.0,0.0,29.0,0.0,54.0,0.0,2020
SUD-KIVU,UVIRA,193955.0,2020-01-25,0.0,0.0,0.0,0.0,5.0,0.0,2020
SUD-KIVU,NUNDU,193955.0,2020-01-25,0.0,0.0,0.0,0.0,7.0,0.0,2020
SUD-KIVU,IDJWI,193955.0,2020-01-25,0.0,0.0,0.0,0.0,4.0,0.0,2020
SUD-KIVU,KATANA,193955.0,2020-01-25,0.0,0.0,1.0,0.0,0.0,0.0,2020
KASAI-ORIENTAL,BONZOLA,193955.0,2019-01-20,0.0,0.0,0.0,0.0,3.0,0.0,2020
KASAI-ORIENTAL,LUKELENGE,193955.0,2019-01-20,0.0,0.0,0.0,0.0,1.0,0.0,2020
KASAI-ORIENTAL,MUKUMBI,193955.0,2019-01-20,0.0,0.0,0.0,0.0,1.0,0.0,2020
NORD-KIVU,KARISIMBI,193955.0,2020-01-20,0.0,0.0,7.0,0.0,6.0,0.0,2020
NORD-KIVU,KIBUA,193955.0,2020-01-20,0.0,0.0,13.0,1.0,20.0,0.0,2020
NORD-KIVU,KIROTSHE,193955.0,2020-01-20,0.0,0.0,26.0,0.0,35.0,0.0,2020
NORD-KIVU,MASISI,193955.0,2020-01-20,0.0,0.0,11.0,0.0,24.0,0.0,2020
NORD-KIVU,MWESO,193955.0,2020-01-20,0.0,0.0,19.0,0.0,16.0,0.0,2020
NORD-KIVU,NYIRAGONGO,193955.0,2020-01-20,0.0,0.0,4.0,0.0,0.0,0.0,2020
NORD-KIVU,GOMA,193955.0,2020-01-20,0.0,0.0,25.0,0.0,7.0,0.0,2020
HAUT-KATANGA,KISANGA,193955.0,2020-01-27,0.0,0.0,0.0,0.0,2.0,1.0,2020
HAUT-KATANGA,KASENGA,193955.0,2020-01-27,0.0,0.0,9.0,1.0,6.0,0.0,2020
HAUT-KATANGA,KASHOBWE,193955.0,2020-01-27,0.0,0.0,17.0,0.0,0.0,0.0,2020
HAUT-KATANGA,KAFUBU,193955.0,2020-01-27,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,KILWA,193955.0,2020-01-27,0.0,0.0,0.0,0.0,24.0,0.0,2020
HAUT-KATANGA,KAMALONDO,193955.0,2020-01-27,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,TSHAMILEMBA,193955.0,2020-01-27,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-KATANGA,KATUBA,193955.0,2020-01-27,0.0,0.0,2.0,0.0,3.0,0.0,2020
HAUT-KATANGA,LUBUMBASHI,193955.0,2020-01-27,0.0,0.0,0.0,0.0,3.0,0.0,2020
HAUT-KATANGA,LUKAFU,193955.0,2020-01-27,0.0,0.0,3.0,0.0,12.0,0.0,2020
HAUT-KATANGA,MUFUNGA-SAMPWE,193955.0,2020-01-27,0.0,0.0,3.0,0.0,19.0,1.0,2020
